clean_name,year,total_spending,total_claims,manufacturer_count,first_generic_year,cost_per_claim,generic_imminent,monopoly_risk,revenue_share,risk_score
risperdal consta,2023,229635146.31,198475.0,1,,1156.9978400806147,0,1.0,0.0012832981420318993,0.425665962840638
naproxen,2023,34749223.29,3502693.0,19,2023.0,9.92071622891301,1,0.05263157894736842,0.00019419332973058344,0.42493649817355905
stiolto respimat,2023,221406841.18,427000.0,1,,518.5171924590164,0,1.0,0.0012373148992440304,0.4247462979848806
verzenio,2023,216608582.81,18355.0,1,,11801.066892399891,0,1.0,0.0012105002058046496,0.424210004116093
symtuza,2023,216552510.73,55731.0,1,,3885.6742339093144,0,1.0,0.0012101868513498103,0.4242037370269962
bydureon bcise,2023,215485804.42,220832.0,1,,975.7906662983625,0,1.0,0.0012042256461609986,0.42408451292322
isentress,2023,214429806.5,129733.0,1,,1652.8547593904404,0,1.0,0.0011983242839762392,0.42396648567952483
atripla,2023,213682117.88,69211.0,1,,3087.4011050266577,0,1.0,0.0011941458843179869,0.4238829176863598
northera,2023,211478683.77,20749.0,1,,10192.234988192202,0,1.0,0.0011818321642934598,0.4236366432858692
alphagan p,2023,210001980.74,703527.0,1,,298.4988219926172,0,1.0,0.0011735797243460763,0.42347159448692157
wixela inhub,2023,208008963.1,708091.0,1,,293.7602131646921,0,1.0,0.0011624419003868638,0.42324883800773727
humulin r u500 kwikpen,2023,206782026.53,127039.0,1,,1627.7050868630893,0,1.0,0.0011555852608611944,0.4231117052172239
votrient,2023,204098034.38,19743.0,1,,10337.741699842982,0,1.0,0.0011405859796332527,0.42281171959266506
uloric,2023,202571112.74,399198.0,1,,507.4452094950376,0,1.0,0.0011320528968925341,0.42264105793785073
prolastin c,2023,198486324.75,19218.0,1,,10328.146776459569,0,1.0,0.001109225377140463,0.4221845075428093
sildenafil citrate,2023,42740827.87,407939.0,23,2024.0,104.7725955841437,1,0.043478260869565216,0.00023885378991781833,0.42216838014618246
orencia,2023,198137414.82000002,41348.0,1,,4791.946764535165,0,1.0,0.0011072755211532573,0.42214551042306514
onglyza,2023,194969057.63,277381.0,1,,702.8926192853872,0,1.0,0.0010895694035987103,0.42179138807197425
jadenu,2023,190954490.37,16408.0,1,,11637.889466723549,0,1.0,0.0010671343069307761,0.42134268613861553
suboxone,2023,188433462.94,541906.0,1,,347.7235220499496,0,1.0,0.0010530457413565717,0.4210609148271315
cimzia,2023,184678937.33,32145.0,1,,5745.183926893763,0,1.0,0.0010320638672099208,0.4206412773441984
betaseron,2023,180435260.64,22075.0,1,,8173.737741336353,0,1.0,0.001008348410324635,0.42016696820649274
juluca,2023,178773501.75,61751.0,1,,2895.0705535133034,0,1.0,0.0009990618001070374,0.41998123600214077
humiracf,2023,175792474.71,26325.0,1,,6677.776817094017,0,1.0,0.0009824025625153558,0.41964805125030713
procrit,2023,174464270.45,116925.0,1,,1492.1040876630318,0,1.0,0.0009749799963860582,0.4194995999277212
daliresp,2023,173569406.21,367391.0,1,,472.43782838991706,0,1.0,0.0009699791172305108,0.4193995823446102
nexium,2023,172832256.5,382354.0,1,,452.02157294025955,0,1.0,0.0009658596134505219,0.4193171922690105
gleevec,2023,170260101.1,16316.0,1,,10435.161871782298,0,1.0,0.0009514853231954,0.419029706463908
toviaz,2023,168466948.14,351471.0,1,,479.3196256305641,0,1.0,0.0009414644274443614,0.41882928854888724
pennsaid,2023,165608018.77,56116.0,1,,2951.1729055884243,0,1.0,0.0009254875231782847,0.4185097504635657
inlyta,2023,163902063.95,11167.0,1,,14677.358641533088,0,1.0,0.00091595392744577,0.4183190785489154
livalo,2023,163884182.02,314147.0,1,,521.6799206104149,0,1.0,0.0009158539956717639,0.4183170799134353
sutent,2023,160489803.85,13793.0,1,,11635.598046110345,0,1.0,0.0008968847774623082,0.4179376955492462
aristada,2023,160406098.79,64806.0,1,,2475.1735763663855,0,1.0,0.0008964169982494883,0.4179283399649898
humulin 7030,2023,158716767.31,388578.0,1,,408.45536111154,0,1.0,0.0008869763007587246,0.4177395260151745
santyl,2023,157648692.98,366112.0,1,,430.6023647954724,0,1.0,0.0008810074504966196,0.4176201490099324
rebif rebidose,2023,157180338.17,18378.0,1,,8552.635660572423,0,1.0,0.00087839008609425,0.417567801721885
symdeko,2023,156904007.26,6634.0,1,,23651.493406692793,0,1.0,0.0008768458323112936,0.4175369166462259
orencia clickject,2023,151717092.86,30482.0,1,,4977.26831769569,0,1.0,0.0008478591648984028,0.4169571832979681
sensipar,2023,149931497.31,126529.0,1,,1184.957577393325,0,1.0,0.0008378805031449356,0.41675761006289874
enbrel mini,2023,149453524.79,25368.0,1,,5891.419299511195,0,1.0,0.0008352093909188034,0.4167041878183761
xolair,2023,147919045.95,45772.0,1,,3231.6491730752423,0,1.0,0.0008266340753540817,0.41653268150708167
